phrase,meaning,example
turn down,"拒绝；调低","He turned down the job offer."
turn in,"上床；交上","I usually turn in at 11 PM."
turn off,"关掉；拐弯","Turn off the lights when you leave."
turn on,打开,"Turn on the TV."
turn out,"结果是；证明是","It turned out to be a great day."
turn over,翻身；移交,"Turn over the page."
turn to,寻求帮助,"You can turn to me for help."
turn up,"出现；到来；调高","He finally turned up at the party."
switch on,打开,"Switch on the light."
switch off,关掉,"Switch off your phone."
catch one's breath,"喘气；松口气；屏息","Let me catch my breath."
catch one's eye,吸引注目,"The painting caught my eye."
catch sight of,看到；发现,"I caught sight of a deer."
catch up with,赶上,"I need to catch up with my work."
lose heart,失去勇气；丧失信心,"Don't lose heart, keep trying."
lose one's temper,发脾气；发怒,"He lost his temper easily."
lose sight of,忘记；看不见,"Don't lose sight of your goals."
have an advantage over,胜过；优于,"Our team has an advantage over theirs."
have in mind,"想到；记得；打算","What do you have in mind?"
have little to do with,和...毫无关系,"This has little to do with me."
have much to do with,和...有很大关系,"Success has much to do with hard work."
have nothing to do with,和...毫无关系,"I have nothing to do with that."
had better do,最好,"You had better finish your homework."
as for,至于；关于,"As for me, I prefer tea."
as regards,关于；至于,"As regards your question, I'll answer later."
in regard to,关于；至于,"In regard to your request, we'll consider it."
with regard to,关于；至于,"With regard to this matter, we need more time."
in case,万一,"Take an umbrella in case it rains."
in no case,决不,"In no case should you give up."
in case of,万一...,"In case of fire, use the exit."
in charge of,负责；主管,"She is in charge of the project."
in detail,详细,"Let me explain in detail."
in difficulty,处境困难,"The company is in difficulty."
in honor of,为纪念；为庆祝,"This event is in honor of the hero."
in no way,决不,"In no way is this acceptable."
in place of,取代,"Use oil in place of butter."
in proportion to,与...成比例,"Salary is in proportion to experience."
in the face of,"即使；在...面前","Stay calm in the face of danger."
in vain,徒劳,"All our efforts were in vain."
in spite of,尽管,"We went out in spite of the rain."
in particular,特别；尤其,"I like fruits, in particular apples."
in advance,提前,"Please book in advance."
in addition to,除...以外,"In addition to English, she speaks French."
in general,一般地说,"In general, I agree with you."
in person,亲自,"You need to apply in person."
in private,私底下,"Let's talk in private."
in public,在公共场所,"Don't shout in public."
in turn,"轮流；反过来","Each student spoke in turn."
in return (for),回报,"What did you get in return?"
in terms of,"在...方面；就...而言","In terms of quality, this is the best."
in favor of,支持；赞成,"I'm in favor of the proposal."
progress in,进步,"She made progress in math."
confidence in,对...有信心,"I have confidence in you."
abundant in,富于,"The region is abundant in resources."
rich in,富于,"This food is rich in vitamins."
result in,导致；带来；引起,"Hard work results in success."
bear in mind,记住,"Bear in mind that time is limited."
in the lab,在实验室里,"We conducted experiments in the lab."
in that,因为,"This case is different in that it involves a child."
