phrase,meaning,example
give away,赠送；泄露,"He gave away all his money to charity."
give back,归还,"Please give back the book you borrowed."
give in,"认输；让步；屈服；交上","Don't give in to pressure."
give off,释放；放出,"The flowers give off a sweet smell."
give out,"分发；用尽；筋疲力尽","They gave out free samples."
give up,"停止；放弃；辞去","Never give up on your dreams."
give rise to doing,引起；导致,"The decision gave rise to many complaints."
go after,追逐,"The dog went after the cat."
go along with,赞同；支持,"I go along with your suggestion."
go down,"下降；减少；流传下去","The sun goes down in the west."
go for,"同意；选择；追求；适用","I'll go for the red one."
go in for,"爱好；参加","She goes in for swimming."
go into,仔细调查；从事,"Let's go into the details."
go on,"爆炸；响起；继续","What's going on here?"
go out,"熄灭；过时","The fire went out."
go over,"检查；审查；复习","Let's go over the plan again."
go through,"遭受；经历","She went through a difficult time."
go up,"上升；增长；被炸毁","Prices keep going up."
go without,没有…而将就,"We had to go without electricity."
go ahead,开始；进行,"Go ahead and start without me."
go wrong,"出错；出故障","Something went wrong with the computer."
hand down/on,传递某物,"This ring was handed down from my grandmother."
hand in,"交上；递交","Please hand in your homework."
hand out,"分发；散发","They handed out flyers."
hand over,交出；移交,"He was forced to hand over the money."
hang up,挂断（电话）,"She hung up without saying goodbye."
hang about,闲荡,"Don't hang about after school."
hang around,闲荡,"They hang around the mall."
hold back,"克制；阻挡；隐瞒","She couldn't hold back her tears."
hold on,"坚持；别挂断","Hold on, I'll be right there."
hold out,"伸出；延伸；坚持","They held out for better conditions."
hold up,"伸出；延迟；抢劫","The robbery held up traffic."
keep in touch,保持联系,"Let's keep in touch after graduation."
keep pace with,赶上,"It's hard to keep pace with technology."
keep on doing,继续；反复做,"He kept on asking questions."
keep up with,赶上,"I can't keep up with the class."
keep an eye on,留意；照看,"Can you keep an eye on my bag?"
keep in mind,记住,"Keep in mind that time is limited."
keep one's word,守信用,"He always keeps his word."
knock down,"捣毁；推倒","The building was knocked down."
knock out,"击倒；击败","The boxer knocked out his opponent."
knock at,敲（门）,"Someone is knocking at the door."
leave alone,"让独自呆着；不打扰","Leave me alone, I need to think."
leave behind,"忘了带；遗留","Don't leave your belongings behind."
leave off,停止；中断,"Let's leave off here for today."
leave out,遗漏；省略,"You left out an important detail."
live on,靠…生活,"They live on a small pension."
live through,度过；经受住,"She lived through the war."
live up to,不辜负,"He tried to live up to his parents' expectations."
look after,照料；注意；关心,"Can you look after my cat?"
look back on,回头看；回顾,"Looking back on it, I was wrong."
look down upon/on,看不起；轻视,"Don't look down upon others."
look forward to,盼望；期待,"I look forward to hearing from you."
look up,"查找（字典）；改善","Look up the word in the dictionary."
look into,调查；观察,"The police are looking into the matter."
look out,注意；提防,"Look out! There's a car coming."
look over,"把…看一遍；察看","Let me look over your report."
look through,"浏览；彻底检查","I looked through the documents."
