phrase,meaning,example
break away,离开；逃脱,"The prisoner broke away from the guards."
break down,"身体坏了；失灵；垮掉","The car broke down on the highway."
break in,"闯入；插嘴；打断","Someone tried to break into the house."
break into,闯入；打断,"Thieves broke into the bank last night."
break off,中止；中断,"They decided to break off the negotiations."
break out,爆发（战争；火）,"War broke out in 1939."
break through,突围；突破,"Scientists broke through in cancer research."
break up,"解散；终止；分手","The police broke up the fight."
break up with sb.,和某人分手,"She broke up with her boyfriend."
break up a friendship,终结一段友谊,"Don't let money break up a friendship."
break up a marriage,结束一段婚姻,"Infidelity can break up a marriage."
bring along,带来,"Feel free to bring along a friend."
bring about,导致；引起,"The new policy brought about many changes."
bring down,打倒；降低,"The scandal brought down the government."
bring out,"出版；推出；使明显","The company brought out a new product."
bring up,教育；培养,"She was brought up by her grandmother."
bring forth,产生；发表；提出,"The meeting brought forth many good ideas."
bring into,使开始；使…进入状态,"The new law was brought into effect."
bring into effect,实行；使生效,"The new rules will be brought into effect next month."
call off,取消,"They called off the meeting due to rain."
call for,要求；需要,"This problem calls for immediate action."
call in,请来,"We should call in an expert."
call on,号召；拜访某人,"The teacher called on me to answer."
call up,"打电话；回忆起；召集","I'll call you up tonight."
call out,喊出,"He called out for help."
carry on,继续,"Please carry on with your work."
carry out,执行；贯彻,"We must carry out the plan."
carry into effect,施行；使生效,"The policy was carried into effect."
check in,办理登记手续,"Please check in at the front desk."
check out,结账离开,"We need to check out by 11 AM."
come around,苏醒；顺便来访,"Come around for dinner sometime."
come round,苏醒；顺便来访,"He finally came round after fainting."
come off,"举行；成功；进展","The event came off successfully."
come on,"出现；发表；结果是","Come on, we're late!"
come out,"出版；结果是；出来","The truth finally came out."
come through,经历了…才活着,"He came through the surgery."
come to,"苏醒；总计；涉及","The bill came to $50."
come up,"出现；走上前来","A problem came up at work."
come across,偶然遇到,"I came across an old friend yesterday."
come up with,提出,"She came up with a great idea."
come into effect,生效；实施,"The law comes into effect tomorrow."
come true,实现,"Her dream finally came true."
count on,依靠；指望,"You can count on me."
count up,算出总数；共计,"Let me count up the total."
count down,倒计时,"Everyone counted down to midnight."
cut across,抄近路穿过,"We cut across the park."
cut down,"砍倒；削减；减少","We need to cut down on expenses."
cut off,"切断；阻隔","The storm cut off the power."
drop by,顺便来访,"Feel free to drop by anytime."
drop in,顺便来访,"I'll drop in later."
drop off,"睡着；让下车；下降","I'll drop you off at the station."
drop out,"退出；退学；离队","He dropped out of college."
get across,被了解,"I couldn't get my point across."
get along/on with,相处,"How do you get along with your boss?"
get down,"写下；驯服","Get down what I say."
get down to doing,着手,"Let's get down to business."
get off,"下车；幸免于难","Get off at the next stop."
get over,"恢复；克服；解决","It took me weeks to get over the flu."
get through,"完成；度过；被理解","I can't get through to him."
get hold of,抓住；掌握,"I need to get hold of the manager."
get rid of,丢弃；摆脱,"Let's get rid of this old furniture."
get up,起床,"I get up at 6 AM every day."
