phrase,meaning,example
at all costs,不惜代价,"We must win at all costs."
at the cost of,以...为代价,"He succeeded at the cost of his health."
by accident,偶然,"I met her by accident."
by chance,偶然,"We met by chance at the station."
by all means,尽一切办法,"Try by all means to succeed."
by no means,绝不,"This is by no means easy."
by means of,依靠,"They escaped by means of a rope."
thanks to,"由于；多亏","Thanks to your help, we succeeded."
owing to,由于,"The game was cancelled owing to rain."
in light of,鉴于；由于,"In light of recent events, we need to be careful."
due to,因为,"The delay was due to traffic."
considering that,考虑到；因为,"Considering that he's new, he did well."
under no circumstances,决不,"Under no circumstances should you open this."
under control,在控制之中,"The situation is under control."
under way,在进行中,"The project is under way."
under discussion,在讨论中,"The proposal is under discussion."
under construction,在建设中,"The building is under construction."
under pressure,在压力下,"She works well under pressure."
on behalf of,代表,"I'm speaking on behalf of the team."
on second thoughts,经重新考虑,"On second thoughts, I'll stay."
on the spot,"在场；马上","He was hired on the spot."
on average,平均,"On average, it rains 10 days a month."
on a large scale,大规模,"They produce on a large scale."
on purpose,故意,"Did you do that on purpose?"
on the contrary,相反,"On the contrary, I agree with you."
on the basis of,根据,"We made the decision on the basis of facts."
on condition that,如果,"I'll go on condition that you come too."
on guard,"提防；值班","Soldiers were on guard."
comment on,评论,"He refused to comment on the matter."
concentrate on,专心于,"Concentrate on your work."
stress on,强调,"The teacher stressed on the importance of homework."
research on/into,研究；调查,"They're doing research on cancer."
keen on,喜欢,"She's keen on photography."
wait on,服侍；伺候,"She waits on customers."
instead of,而不是,"Let's walk instead of driving."
fond of,喜欢,"I'm fond of classical music."
ashamed of,羞愧的,"He was ashamed of his behavior."
capable of,能够,"She's capable of doing the job."
characteristic of,特有的,"It's characteristic of him to be late."
typical of,特有的,"This is typical of the region."
critical of,挑剔的；批评的,"He's always critical of others."
guilty of,有罪的,"He was found guilty of theft."
ignorant of,不知道,"I was ignorant of the facts."
innocent of,无辜的,"She's innocent of the crime."
independent of,不受...支配；依靠,"She's independent of her parents."
jealous of,嫉妒的,"Don't be jealous of others."
short of,缺少的,"We're short of time."
suspicious of,怀疑的,"I'm suspicious of his motives."
regardless of,不管；不顾,"We'll go regardless of the weather."
to the point,切题；要紧,"Your comments are right to the point."
stick to,"粘在...上；坚持","Stick to the plan."
add up to,合计达,"The bills add up to $100."
approximate to,接近,"This approximates to the truth."
comparable to,与...可比,"Nothing is comparable to this."
close to,接近,"We're close to finishing."
contrary to,与...相反,"Contrary to expectations, he passed."
opposite to,"与...相反；在对面","The result was opposite to what we expected."
equal to,"相当于；胜任","She's equal to the task."
necessary to/for,对于...必要,"Sleep is necessary for health."
vital to,对于...必要,"Water is vital to life."
fatal to,致命,"The mistake was fatal to his career."
prior to,在...之前,"Prior to this, he worked in London."
indifferent to,冷漠的,"He's indifferent to criticism."
hostile to,敌意的,"They're hostile to the idea."
sensitive to,敏感的,"She's sensitive to criticism."
similar to,相似于,"This is similar to what happened before."
access to,"接入；通道","Students have access to the library."
admission to,进入,"Admission to the museum is free."
approach to,"办法；通道","What's your approach to this problem?"
solution to,解决办法,"We need a solution to this problem."
appeal to sb for,呼吁；恳求,"They appealed to the public for help."
appeal to,吸引,"The idea appeals to me."
apology to sb for,道歉,"He made an apology to her for being late."
contribution to,贡献,"He made a contribution to charity."
devotion to,献身于,"Her devotion to work is admirable."
damage to,对...损坏,"The storm caused damage to the roof."
danger to,危害到,"Pollution is a danger to health."
hazard to,危害到,"Smoking is a hazard to health."
entrance to,的入口,"The entrance to the building is on the left."
exposure to,"受到...影响；暴露于","Exposure to sun can damage skin."
introduction to,"介绍；入门","This is an introduction to physics."
rather than,而不是,"I prefer tea rather than coffee."
other than,"非；除了","Everyone other than John came."
no sooner than,一...就,"No sooner had I arrived than it started raining."
nothing but,只有,"It's nothing but a lie."
anything but,决不,"He's anything but happy."
after all,毕竟,"After all, he's just a child."
above all,首先；尤其,"Above all, be honest."
effect on,影响,"The medicine had an effect on him."
influence on,影响,"Parents have a great influence on children."
impact on,影响,"The news had a big impact on the market."
in control,在控制之中,"She's in control of the situation."
out of control,失去控制,"The fire got out of control."
in touch,有联系,"Let's stay in touch."
out of touch,失去联系,"I'm out of touch with old friends."
in order,整齐；有秩序,"Everything is in order."
out of order,出故障；无序,"The elevator is out of order."
in place,在适当位置,"Everything is in place."
out of place,不合适的；格格不入,"His comment was out of place."
in sight,看得见,"The end is in sight."
out of sight,看不见,"Keep the medicine out of sight."
in stock,有货的,"Do you have this in stock?"
out of stock,缺货的,"This item is out of stock."
be about to do,将要；即将,"I was about to leave."
be equipped with,装有；具有,"The car is equipped with GPS."
be supposed to do,应该,"You're supposed to finish this today."
be grateful to sb for sth,为...感激,"I'm grateful to you for your help."
be involved in,参与；卷入,"He was involved in the accident."
be engaged in,忙于；从事于,"She's engaged in research."
be interested in,对...感兴趣,"I'm interested in art."
be prepared for sth,做...准备,"Be prepared for the worst."
sum up,总结；概括,"Let me sum up the main points."
use up,用光,"We used up all the milk."
warm up,"（使）加热；激活","Let's warm up before exercise."
cheer up,"（使）高兴；振作起来","Cheer up! Things will get better."
mix up,"搅混；混淆","Don't mix up the papers."
hurry up,赶紧；匆匆完成,"Hurry up or we'll be late."
build up,逐步建立；增强,"Build up your confidence."
spring up,涌现,"New businesses are springing up."
new lifestyle,新的生活方式,"They adopted a new lifestyle."
learn by heart,记住；背诵,"Learn this poem by heart."
leave alone,"不打扰；不干预","Leave the matter alone."
or else,否则,"Hurry up, or else we'll be late."
feel like doing,想要,"I feel like eating pizza."
can't help doing,禁不住；忍不住,"I can't help laughing."
watch out (for),密切注意；提防,"Watch out for cars!"
slow down,放慢；减退,"Slow down, you're driving too fast."
let down,"放下；降低；使失望","Don't let me down."
throw away,"扔掉；抛弃；浪费","Don't throw away old newspapers."
emphasis on,强调,"Place emphasis on quality."
work out,"算出；想出；解决","Can you work out this problem?"
wear out,"穿破；磨损；用坏","My shoes are worn out."
fall behind,落后,"Don't fall behind the class."
die down,"变弱；逐渐消失","The noise died down."
die out,消失灭绝,"Many species are dying out."
draw up,"起草；制定","Let's draw up a plan."
fill in (out),填写,"Please fill in this form."
be superior to,优于,"This product is superior to others."
be inferior to,低于,"This material is inferior to that one."
be junior to,年少于,"He is junior to me."
be senior to,年长于,"She is senior to me by two years."
familiar to,为…熟悉,"This song is familiar to me."
familiar with,熟悉,"I'm familiar with this software."
think over,仔细考虑,"Think it over before deciding."
try on,试穿,"Can I try on this jacket?"
